Freq.	V(vout)/V(vin)
1.00000000000000e-02	(-1.06208015087909e+02dB,5.40694813635598e+01°)
1.25892541179417e-02	(-1.05116362381763e+02dB,4.85226273440068e+01°)
1.58489319246111e-02	(-1.04235015008969e+02dB,4.32978112954713e+01°)
1.99526231496888e-02	(-1.03538346523917e+02dB,3.87527809703259e+01°)
2.51188643150958e-02	(-1.02979942866497e+02dB,3.51489935954157e+01°)
3.16227766016838e-02	(-1.02501794794498e+02dB,3.26100741426276e+01°)
3.98107170553497e-02	(-1.02043140320200e+02dB,3.11129245606192e+01°)
5.01187233627272e-02	(-1.01547729489160e+02dB,3.04911029665695e+01°)
6.30957344480194e-02	(-1.00971504905476e+02dB,3.04424379633743e+01°)
7.94328234724282e-02	(-1.00292168147243e+02dB,3.05567749199469e+01°)
1.00000000000000e-01	(-9.95179777218797e+01dB,3.03876628056707e+01°)
1.25892541179417e-01	(-9.86893050540759e+01dB,2.95661186342096e+01°)
1.58489319246111e-01	(-9.78681838691250e+01dB,2.79113797631341e+01°)
1.99526231496888e-01	(-9.71185352495655e+01dB,2.54772448982548e+01°)
2.51188643150958e-01	(-9.64865534742239e+01dB,2.25057901742153e+01°)
3.16227766016838e-01	(-9.59908064531941e+01dB,1.93174614698067e+01°)
3.98107170553498e-01	(-9.56248261684293e+01dB,1.62011134981152e+01°)
5.01187233627273e-01	(-9.53672484385680e+01dB,1.33529104353304e+01°)
6.30957344480194e-01	(-9.51922733722217e+01dB,1.08697727313391e+01°)
7.94328234724282e-01	(-9.50763484077168e+01dB,8.77368280610333e+00°)
1.00000000000000e+00	(-9.50008434945763e+01dB,7.04208017501979e+00°)
1.25892541179417e+00	(-9.49522184323792e+01dB,5.63172443023139e+00°)
1.58489319246112e+00	(-9.49211340379158e+01dB,4.49356947902281e+00°)
1.99526231496888e+00	(-9.49013568588369e+01dB,3.58057690885767e+00°)
2.51188643150958e+00	(-9.48888116330054e+01dB,2.85109743352675e+00°)
3.16227766016838e+00	(-9.48808686178034e+01dB,2.26983204346424e+00°)
3.98107170553498e+00	(-9.48758446914990e+01dB,1.80762221877226e+00°)
5.01187233627273e+00	(-9.48726679992725e+01dB,1.44075925162149e+00°)
6.30957344480194e+00	(-9.48706578698530e+01dB,1.15016184705099e+00°)
7.94328234724283e+00	(-9.48693824208329e+01dB,9.20583100452788e-01°)
1.00000000000000e+01	(-9.48685671513847e+01dB,7.39911012840189e-01°)
1.25892541179417e+01	(-9.48680364216308e+01dB,5.98579731521553e-01°)
1.58489319246112e+01	(-9.48676758461579e+01dB,4.89087646277157e-01°)
1.99526231496888e+01	(-9.48674077606998e+01dB,4.05610207922606e-01°)
2.51188643150958e+01	(-9.48671746080855e+01dB,3.43692954874431e-01°)
3.16227766016839e+01	(-9.48669267906312e+01dB,3.00010100697485e-01°)
3.98107170553498e+01	(-9.48666126067557e+01dB,2.72174120853212e-01°)
5.01187233627273e+01	(-9.48661686399501e+01dB,2.58580759313355e-01°)
6.30957344480195e+01	(-9.48655097667933e+01dB,2.58270866107875e-01°)
7.94328234724283e+01	(-9.48645193671209e+01dB,2.70785647916514e-01°)
1.00000000000000e+02	(-9.48630432101298e+01dB,2.95988990743034e-01°)
1.25892541179417e+02	(-9.48608955813240e+01dB,3.33842140895522e-01°)
1.58489319246112e+02	(-9.48578920740053e+01dB,3.84168569724094e-01°)
1.99526231496888e+02	(-9.48539221132455e+01dB,4.46564345876951e-01°)
2.51188643150959e+02	(-9.48490500035184e+01dB,5.20738891427773e-01°)
3.16227766016839e+02	(-9.48435830168812e+01dB,6.07491600973114e-01°)
3.98107170553498e+02	(-9.48380194142797e+01dB,7.10035452917096e-01°)
5.01187233627274e+02	(-9.48328643620305e+01dB,8.34849412499885e-01°)
6.30957344480195e+02	(-9.48284306468799e+01dB,9.91519668301625e-01°)
7.94328234724284e+02	(-9.48247547613526e+01dB,1.19199729738298e+00°)
1.00000000000000e+03	(-9.48216364986106e+01dB,1.45014550434914e+00°)
